id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
1002741,Seiurus,aurocapilla,,birds,Ovenbird,Sue Riffe,United States,"Tuttle Rd, Iosco Cty, Michigan",44.366,-83.5842,240,song,uncertain,adult,field recording,//xeno-canto.org/1002741,https://xeno-canto.org/1002741/download,XC1002741-Ovenbird-on-5.15.25-at-10.42-for-.28-in-Iosco-Cty-MI.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/PVQOLRXXWL/ffts/XC1002741-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PVQOLRXXWL/ffts/XC1002741-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PVQOLRXXWL/ffts/XC1002741-large.png', 'full': '//xeno-canto.org/sounds/uploaded/PVQOLRXXWL/ffts/XC1002741-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/PVQOLRXXWL/wave/XC1002741-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PVQOLRXXWL/wave/XC1002741-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PVQOLRXXWL/wave/XC1002741-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,10:42,2025-05-15,2025-05-30,[],,yes,yes,,,no,iPhone 13,iPhone 13,44100.0
964345,Seiurus,aurocapilla,,birds,Ovenbird,A Richardson,United States,"Ross Township (near  Augusta), Kalamazoo County, Michigan",42.3267,-85.3474,260,call,uncertain,uncertain,field recording,//xeno-canto.org/964345,https://xeno-canto.org/964345/download,XC964345-OVEN2023-08-14-0943.wav,"{'small': '//xeno-canto.org/sounds/uploaded/XBUQGDEYSJ/ffts/XC964345-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XBUQGDEYSJ/ffts/XC964345-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XBUQGDEYSJ/ffts/XC964345-large.png', 'full': '//xeno-canto.org/sounds/uploaded/XBUQGDEYSJ/ffts/XC964345-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/XBUQGDEYSJ/wave/XC964345-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XBUQGDEYSJ/wave/XC964345-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XBUQGDEYSJ/wave/XC964345-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,09:43,2023-08-14,2025-01-26,[],,yes,no,,,no,iPhone,,44100.0
934450,Seiurus,aurocapilla,,birds,Ovenbird,Thomas Magarian,United States,"Mike Long's Woods Road, Page County, Virginia",38.6088,-78.5524,280,song,male,adult,field recording,//xeno-canto.org/934450,https://xeno-canto.org/934450/download,XC934450-SCTA_AMRE_OVEN_2024-05-16_Beahm-s_Gap_Shenandoah_NP_Page_County_VA_1235(2).wav,"{'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934450-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934450-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934450-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934450-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934450-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934450-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934450-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:48,12:35,2024-05-16,2024-09-19,"['Setophaga ruticilla', 'Seiurus aurocapilla']",,yes,no,,,no,SD MixPre-3 II,Sennheiser MKH-70,48048.0
934449,Seiurus,aurocapilla,,birds,Ovenbird,Thomas Magarian,United States,"Mike Long's Woods Road, Page County, Virginia",38.6088,-78.5524,280,song,male,adult,field recording,//xeno-canto.org/934449,https://xeno-canto.org/934449/download,XC934449-OVEN_AMRE_SCTA_REVI_EWPE_2024-05-16_Beahm-s_Gap_Shenandoah_NP_Page_County_VA_1241(2).wav,"{'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934449-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934449-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934449-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934449-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934449-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934449-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934449-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:45,12:41,2024-05-16,2024-09-19,"['Setophaga ruticilla', 'Empidonax virescens', 'Contopus virens', 'Vireo olivaceus', 'Piranga olivacea']",,yes,no,,,no,SD MixPre-3 II,Sennheiser MKH-70,48048.0
934448,Seiurus,aurocapilla,,birds,Ovenbird,Thomas Magarian,United States,"Mike Long's Woods Road, Page County, Virginia",38.6088,-78.5524,280,song,male,adult,field recording,//xeno-canto.org/934448,https://xeno-canto.org/934448/download,XC934448-OVEN_2024-05-16_Beahm-s_Gap_Shenandoah_NP_Page_County_VA_1242(2).wav,"{'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934448-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934448-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934448-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/ffts/XC934448-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934448-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934448-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GVVNEJJEGA/wave/XC934448-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,12:42,2024-05-16,2024-09-19,[],,yes,no,,,no,SD MixPre-3 II,Sennheiser MKH-70,48048.0
903279,Seiurus,aurocapilla,,birds,Ovenbird,Molly Jacobson,United States,Beaver Lake Nature Center,43.1826,-76.4022,140,"call, song",male,adult,field recording,//xeno-canto.org/903279,https://xeno-canto.org/903279/download,XC903279-MVI_7348.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/MXNGTEHLJJ/ffts/XC903279-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MXNGTEHLJJ/ffts/XC903279-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MXNGTEHLJJ/ffts/XC903279-large.png', 'full': '//xeno-canto.org/sounds/uploaded/MXNGTEHLJJ/ffts/XC903279-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/MXNGTEHLJJ/wave/XC903279-small.png', 'med': '//xeno-canto.org/sounds/uploaded/MXNGTEHLJJ/wave/XC903279-med.png', 'large': '//xeno-canto.org/sounds/uploaded/MXNGTEHLJJ/wave/XC903279-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:55,16:15,2024-05-02,2024-05-16,"['Spinus tristis', 'Turdus migratorius']","Two males that were closely following each other around, singing back and forth for the better part of an hour. They would move together on the ground and to new perches 3-5ft high in tree branches. At some point they started making quiet call notes, and eventually I lost track of them on the forest floor. Observed at close range for over ten minutes - audio taken from a video clip. ",yes,no,,,no,Canon Rebel T7i,,48000.0
839842,Seiurus,aurocapilla,,birds,Ovenbird,Manuel Oudard,United States,"Grayling Township (near  Grayling), Crawford County, Michigan",44.6353,-84.6294,380,song,,,field recording,//xeno-canto.org/839842,https://xeno-canto.org/839842/download,XC839842-Paruline-couronnée-2---Michigan---19-05-2023.wav,"{'small': '//xeno-canto.org/sounds/uploaded/ISEVSYKZZW/ffts/XC839842-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ISEVSYKZZW/ffts/XC839842-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ISEVSYKZZW/ffts/XC839842-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ISEVSYKZZW/ffts/XC839842-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ISEVSYKZZW/wave/XC839842-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ISEVSYKZZW/wave/XC839842-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ISEVSYKZZW/wave/XC839842-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,0:44,08:00,2023-05-19,2023-11-01,[],,yes,no,,,no,Zoom H5,Røde NTG5,44100.0
825101,Seiurus,aurocapilla,aurocapilla,birds,Ovenbird,Richard E. Webster,United States,"Swift Camp Creek Trail, Daniel Boone N.F., Kentucky",37.7991,-83.5878,300,song,male,adult,field recording,//xeno-canto.org/825101,https://xeno-canto.org/825101/download,XC825101-OVENBIRD-Swift-Camp-Cr-Tr-300m-DBNF-051423-0756.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825101-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825101-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825101-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825101-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825101-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825101-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825101-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:56,07:56,2023-05-14,2023-08-25,"['Setophaga citrina', 'Piranga olivacea']",interval shortened at 1:30;  no 1 of two;,no,no,,,no,SD Mix Pre III,Wildtronics parabola,48000.0
825097,Seiurus,aurocapilla,aurocapilla,birds,Ovenbird,Richard E. Webster,United States,"Rock Bridge Trail, Daniel Boone N.F., Kentucky",37.7705,-83.5644,300,song,male,adult,field recording,//xeno-canto.org/825097,https://xeno-canto.org/825097/download,XC825097-OVENBIRD-no-2-Rock-Bridge-Tr-300m-DBNF-051323-0904.wav,"{'small': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825097-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825097-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825097-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825097-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825097-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825097-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825097-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,09:04,2023-05-13,2023-08-25,[],from the ground; different than recorded earlier; ,yes,no,,,no,SD Mix Pre III,Wildtronics parabola,48000.0
825095,Seiurus,aurocapilla,aurocapilla,birds,Ovenbird,Richard E. Webster,United States,"Koomer Ridge Campground, Daniel Boone NF, Kentucky",37.784,-83.6327,380,song,male,adult,field recording,//xeno-canto.org/825095,https://xeno-canto.org/825095/download,XC825095-OVENBIRD-Koomer-Ridge-CG-400m-DBNF-051323-1507.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825095-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825095-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825095-large.png', 'full': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/ffts/XC825095-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825095-small.png', 'med': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825095-med.png', 'large': '//xeno-canto.org/sounds/uploaded/KZYUWIRZVH/wave/XC825095-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,7:37,15:07,2023-05-13,2023-08-25,"['Setophaga citrina', 'Cyanocitta cristata']","not seen; widely spaced songs, often a minute apart;",no,no,,,no,SD Mix Pre III,Wildtronics parabola,48000.0
